127.0.0.1 - - [31/Mar/2024:17:52:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/login.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/images/signin.jpg HTTP/1.1" 200 167092
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:14 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:15 +0530] "GET /signupProject/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:15 +0530] "GET /signupProject/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 200 7904
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:15 +0530] "GET /signupProject/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [31/Mar/2024:17:52:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
